"order","extinction","ext.var","ext.median","origination","ori.var","ori.median","diversification","div.var","div.median","birth","birth.var","birth.median","death","death.var","death.median","duration","dur.var","dur.median","Nocc","Ngen","first_app_max","first_app_mean","q_rate","group"
"Lamiales",0.00974130596916836,0.00587739293969397,0.00149641349425374,0.0250119421307648,0.00495449028160686,0.0191292172208496,0.0152706361615965,0.0104894152031737,0.017033108557211,266.64,42.7657142857143,266,0,0,0,240.069844208221,14.5334593215612,240.283740052313,232,11,242,235,1.15178109818331,"Plants"
"Laurales",0.00844741446939365,0.00402178890865709,0.000530618764719055,0.105168371102472,0.088690986633746,0.0102984684526019,0.0967209566330783,0.0941041182978265,0.00956287762384829,190.28,1354.12408163265,181.5,0,0,0,148.173799063079,180.653038592173,146.362542266773,464,22,145,122.75,0.391585866580639,"Plants"
"Lycopodiales",0.00131360890237386,5.72719498706191e-05,0.0010166338184267,0.0158626465296771,0.00881784254080531,0.00680818677385623,0.0145490376273032,0.00887082627818853,0.0056518456367042,413.18,338.599591836735,409,0,0,0,368.549523132227,35.5141976924142,369.548629334565,374,11,364.7,355.7,0.433434969514654,"Plants"
"Malpighiales",0.0154239935080873,0.00909836527650726,0.00173129733833589,0.12765377878086,0.0936880264395277,0.020983019773749,0.112229785272773,0.104817887500518,0.0187789140000213,149.34,505.494285714286,144,0,0,0,116.20341630639,9.46854601414293,115.103568009158,866,35,113,106.75,0.883957989527973,"Plants"
"Malvales",0.00708750027681823,0.00251002816161628,0.00103900498556193,0.050613623764433,0.0353900506232859,0.0150479659702967,0.0435261234876147,0.0382928823986792,0.0136912425061842,193.32,326.181224489796,187.5,0,0,0,162.971545423209,6.19330018649324,162.111051637152,438,17,161.2,158.45,1.55098140531116,"Plants"
"Myrtales",0.0152390162133411,0.008728792549268,0.000878388582775186,0.0648728876015058,0.0242665187723549,0.0205062367887708,0.0496338713881647,0.0343539587595361,0.019233870331761,125.42,310.82,121,0,0,0,100.725652685293,14.6742551700554,100.444389877066,486,21,100.5,97.2,1.16386599372826,"Plants"
"Oxalidales",0.0241432091057582,0.0163146162436656,0.00204846818619253,0.268743501842543,0.259979581613115,0.0171795631382149,0.244600292736785,0.285914109858932,0.0144497221487605,95.08,134.97306122449,93,0,0,0,68.2567991685177,1.3818483892815,68.118193718325,177,13,66,63.85,2.83347158111007,"Plants"
"Pinales",0.00246968032205916,0.00066131669049226,0.000271943372619413,0.0141145730623752,0.00319572949453495,0.0103037954077857,0.011644892740316,0.00390298824345972,0.0100044629413832,403.78,1189.03224489796,395.5,0,0,0,368.794892801538,566.975348609611,362.41379724338,4889,80,358.9,352.8,0.71948972599748,"Plants"
"Poales",0.01762194091612,0.0119233844163226,0.00169948166384495,0.0708619888964019,0.0428489342806661,0.019635791528348,0.0532400479802819,0.0562533790805243,0.0173470692316732,139.84,651.728979591837,139,0,0,0,108.401392857748,12.5385135234986,108.292451189316,439,10,113,106.75,2.07527287031509,"Plants"
"Polypodiales",0.00692685812101557,0.00310184203391765,0.00171771662662658,0.0258348974991838,0.0129788787591152,0.00991291201698131,0.0189080393781683,0.0150035886401178,0.00801037514976644,344.42,2936.57510204082,325,0,0,0,310.504043149016,931.446671584298,302.171870491198,511,29,298.9,296.95,1.47198794474814,"Plants"
"Proteales",0.00796839819868389,0.00308090452912849,0.000305150834250585,0.0829020289723925,0.061854596982095,0.0264771315301291,0.0749336307737086,0.0652676500509927,0.0252408047693106,166.92,270.932244897959,167,0,0,0,135.009432460041,69.9212365027975,134.662235533476,1002,43,145,122.75,0.608837782923193,"Plants"
"Ranunculales",0.0191046801552307,0.0129971483023076,0.0017681061514578,0.085783604445775,0.0553835803687846,0.0196893324206981,0.0666789242905443,0.0704994789006517,0.0172730494884679,131.86,67.4697959183674,130,0,0,0,103.242972458459,1.6764053178361,103.168488116335,241,15,70.6,68.3,0.940643322759568,"Plants"
"Rosales",0.0206911627983043,0.0169966763268798,0.0012075326898893,0.0415655715401874,0.0122820470377676,0.0346730817749103,0.0208744087418831,0.0304859865680926,0.0332200106267909,136.12,63.2097959183673,134,0,0,0,125.738299911214,90.0396553124892,124.603930230603,1343,35,145,122.75,1.29135393632812,"Plants"
"Sapindales",0.0220705399744071,0.0193715574807022,0.000847044279206825,0.0663623644721723,0.0207007292455973,0.0536782986663774,0.0442918244977652,0.039943396747054,0.0507861878322454,133.78,167.76693877551,134,0,0,0,105.18227293571,23.9663961352666,104.42175808013,747,41,100.5,83.25,1.25866115503544,"Plants"
"Saxifragales",0.00583131500474015,0.002922169132015,0.000723727176603429,0.0238782954969741,0.0121677041444446,0.0106731455376423,0.018046980492234,0.0152129499776492,0.00968174898629693,347.28,368.981224489796,344.5,0,0,0,283.036484455902,48.7998314528465,281.947202520494,483,13,201.3,196.05,0.797100801631381,"Plants"
"Schizaeales",0.00115176210373816,1.86145995081276e-05,0.000969132119673912,0.0195642646197024,0.00167177749747295,0.0205892529345065,0.0184125025159642,0.00168953409507329,0.0194802486685814,439.88,107.617959183673,439,0,0,0,397.041927613836,1.82276987537785,396.93461537222,1036,18,388.1,385.9,1.10033658878595,"Plants"
"Selaginellales",0.000809356690341986,6.48981707786836e-05,0.000586415314208945,0.0705267548596306,0.0724450951757156,0.00243590548025143,0.0697173981692888,0.0724171510357115,0.00179884270121467,471.88,5942.67918367347,452,0,0,0,418.807984126242,1455.84924286539,412.744613196016,576,10,419.2,406.25,0.460464803837945,"Plants"
